id_zone;INSEE;LIBGEO;DEP;REG;EPCI;TYPPRED;loypredm2;lwrIPm2;uprIPm2;R2adj;Nbobs_maille;NBobs_commune
622;65107;Bourr�ac;65;76;200069300;epci;7,68878331;5,541736907;10,66766427;0,54005908;594;4
929;65108;Bours;65;76;200069300;maille;7,370353296;6,07127398;8,9473985;0,706901657;509;16
690;65109;Bramevaque;65;76;200070829;maille;6,90937347;4,965408801;9,614403098;0,556812914;521;0
395;65110;Bugard;65;76;200070795;epci;6,820606149;5,582407824;8,333441358;0,717483326;1271;0
625;65111;Bulan;65;76;200070787;maille;6,834879229;4,699583575;9,940364573;0,523144374;617;0
622;65112;Bun;65;76;200070811;epci;7,945564131;5,726056474;11,02538713;0,54005908;594;8
372;65113;Burg;65;76;200070803;maille;6,507143357;5,012352217;8,447713336;0,541946432;603;2
1158;65114;Buzon;65;76;200072106;maille;6,200370827;4,593434302;8,369467345;0,715401705;496;8
395;65115;Cabanac;65;76;200070803;maille;7,202662713;5,887441872;8,811696369;0,717483326;1271;13
625;65116;Cad�ac;65;76;246500573;epci;7,243694094;4,986304713;10,52304405;0,523144374;617;11
625;65117;Cadeilhan-Trach�re;65;76;246500573;epci;7,243694094;4,986304713;10,52304405;0,523144374;617;0
372;65118;Caharet;65;76;200070803;maille;6,507143357;5,012352217;8,447713336;0,541946432;603;0
667;65119;Caixon;65;76;200072106;epci;6,810325237;5,253953744;8,827738516;0,546806542;1038;5
395;65120;Calavant�;65;76;200070803;maille;7,202662713;5,887441872;8,811696369;0,717483326;1271;5
667;65121;Camal�s;65;76;200072106;epci;6,810325237;5,253953744;8,827738516;0,546806542;1038;1
690;65122;Camous;65;76;246500573;maille;6,90937347;4,965408801;9,614403098;0,556812914;521;7
625;65123;Campan;65;76;246500482;epci;6,945348412;4,780238094;10,09110082;0,523144374;617;36
625;65124;Camparan;65;76;246500573;epci;7,243694094;4,986304713;10,52304405;0,523144374;617;2
372;65125;Campistrous;65;76;200070787;maille;6,507143357;5,012352217;8,447713336;0,541946432;603;3
395;65126;Campuzan;65;76;200070795;epci;6,820606149;5,582407824;8,333441358;0,717483326;1271;3
372;65127;Capvern;65;76;200070787;maille;6,507143357;5,012352217;8,447713336;0,541946432;603;19
372;65128;Castelbajac;65;76;200070787;maille;6,507143357;5,012352217;8,447713336;0,541946432;603;1
660;65129;Castelnau-Magnoac;65;76;200070795;maille;6,68624256;5,093819388;8,776486987;0,609569227;1123;20
667;65130;Castelnau-Rivi�re-Basse;65;76;200072106;epci;6,810325237;5,253953744;8,827738516;0,546806542;1038;7
929;65131;Castelvieilh;65;76;200070803;maille;7,370353296;6,07127398;8,9473985;0,706901657;509;5
625;65132;Cast�ra-Lanusse;65;76;200070803;epci;6,727903463;4,627870391;9,780888656;0,523144374;617;0
929;65133;Cast�ra-Lou;65;76;200070803;maille;7,370353296;6,07127398;8,9473985;0,706901657;509;0
395;65134;Casterets;65;76;200070795;epci;6,820606149;5,582407824;8,333441358;0,717483326;1271;0
625;65135;Castillon;65;76;200070787;maille;6,834879229;4,699583575;9,940364573;0,523144374;617;1
395;65136;Caubous;65;76;200070795;epci;6,820606149;5,582407824;8,333441358;0,717483326;1271;3
667;65137;Caussade-Rivi�re;65;76;200072106;epci;6,810325237;5,253953744;8,827738516;0,546806542;1038;1
625;65138;Cauterets;65;76;200070811;maille;6,834879229;4,699583575;9,940364573;0,523144374;617;23
514;65139;Cazarilh;65;76;200070829;maille;5,979855683;4,115138421;8,68954342;0,443269588;568;1
625;65140;Cazaux-Debat;65;76;246500573;epci;7,243694094;4,986304713;10,52304405;0,523144374;617;0
625;65141;Cazaux-Fr�chet-An�ran-Camors;65;76;246500573;epci;7,243694094;4,986304713;10,52304405;0,523144374;617;1
395;65142;Chelle-Debat;65;76;200070803;maille;7,202662713;5,887441872;8,811696369;0,717483326;1271;2
625;65143;Chelle-Spou;65;76;200070787;maille;6,834879229;4,699583575;9,940364573;0,523144374;617;0
622;65144;Cheust;65;76;200069300;epci;7,68878331;5,541736907;10,66766427;0,54005908;594;0
625;65145;Ch�ze;65;76;200070811;maille;6,834879229;4,699583575;9,940364573;0,523144374;617;0
929;65146;Chis;65;76;200069300;maille;7,370353296;6,07127398;8,9473985;0,706901657;509;5
625;65147;Cieutat;65;76;246500482;epci;6,945348412;4,780238094;10,09110082;0,523144374;617;15
395;65148;Cizos;65;76;200070795;epci;6,820606149;5,582407824;8,333441358;0,717483326;1271;3
395;65149;Clarac;65;76;200070803;maille;7,202662713;5,887441872;8,811696369;0,717483326;1271;0
395;65150;Clarens;65;76;200070787;epci;7,49316716;6,124850802;9,167170907;0,717483326;1271;6
929;65151;Collongues;65;76;200070803;maille;7,370353296;6,07127398;8,9473985;0,706901657;509;5
395;65153;Coussan;65;76;200070803;maille;7,202662713;5,887441872;8,811696369;0,717483326;1271;0
690;65154;Cr�chets;65;76;200070829;maille;6,90937347;4,965408801;9,614403098;0,556812914;521;2
395;65155;Dev�ze;65;76;200070795;epci;6,820606149;5,582407824;8,333441358;0,717483326;1271;0
929;65156;Dours;65;76;200070803;maille;7,370353296;6,07127398;8,9473985;0,706901657;509;2
625;65157;Ens;65;76;246500573;epci;7,243694094;4,986304713;10,52304405;0,523144374;617;0
514;65158;Esbareich;65;76;200070829;maille;5,979855683;4,115138421;8,68954342;0,443269588;568;1
372;65159;Escala;65;76;200070787;maille;6,507143357;5,012352217;8,447713336;0,541946432;603;10
600;65160;Escaunets;65;76;200072106;maille;8,009841547;6,449894817;9,947070988;0,627370452;896;1
929;65161;Escondeaux;65;76;200072106;maille;7,370353296;6,07127398;8,9473985;0,706901657;509;2
690;65162;Esconnets;65;76;200070787;maille;6,90937347;4,965408801;9,614403098;0,556812914;521;0
690;65163;Escots;65;76;200070787;maille;6,90937347;4,965408801;9,614403098;0,556812914;521;0
622;65164;Escoub�s-Pouts;65;76;200069300;epci;7,68878331;5,541736907;10,66766427;0,54005908;594;4
690;65165;Esparros;65;76;200070787;maille;6,90937347;4,965408801;9,614403098;0,556812914;521;5
690;65166;Esp�che;65;76;200070787;maille;6,90937347;4,965408801;9,614403098;0,556812914;521;3
690;65167;Espieilh;65;76;200070787;maille;6,90937347;4,965408801;9,614403098;0,556812914;521;0
625;65168;Esqui�ze-S�re;65;76;200070811;maille;6,834879229;4,699583575;9,940364573;0,523144374;617;6
622;65169;Estaing;65;76;200070811;epci;7,945564131;5,726056474;11,02538713;0,54005908;594;5
1158;65170;Estampures;65;76;200070795;maille;6,200370827;4,593434302;8,369467345;0,715401705;496;0
690;65171;Estarvielle;65;76;246500573;maille;6,90937347;4,965408801;9,614403098;0,556812914;521;0
625;65172;Estensan;65;76;246500573;epci;7,243694094;4,986304713;10,52304405;0,523144374;617;2
625;65173;Esterre;65;76;200070811;maille;6,834879229;4,699583575;9,940364573;0,523144374;617;2
667;65174;Estirac;65;76;200072106;epci;6,810325237;5,253953744;8,827738516;0,546806542;1038;0
690;65175;Ferr�re;65;76;200070829;maille;6,90937347;4,965408801;9,614403098;0,556812914;521;2
622;65176;Ferri�res;65;76;246401756;maille;7,003313741;5,043723643;9,72424479;0,54005908;594;4
